image_id,cancer,InceptionV3_ImageNet_logit_512_0,InceptionV3_ImageNet_logit_512_1,InceptionV3_ImageNet_logit_512_2,InceptionV3_ImageNet_logit_512_3,InceptionV3_ImageNet_logit_512_4
111020467,0,0.013493172386120371,0.037626712152430034,0.01593498558284593,0.014439471138368704,0.048402730051022115
1360770089,0,0.01337714375453068,0.029484728536568167,0.01691162386913995,0.008993536698770331,0.042834542966598076
21872985,0,0.01039370564812724,0.049412331405165974,0.0049235120227338605,0.0062630601988902,0.05164999396796063
1924268326,0,0.024875344962875325,0.05105159489649541,0.005385656018929036,0.011256525138022907,0.03727591166198912
1332075298,0,0.016993112532269525,0.014479728705524865,0.004857068940677341,0.007276161165680811,0.013517415584838089
1436130967,0,0.046315627201067515,0.01081434272178068,0.012919998259735263,0.007054114914923294,0.036056550999276474
356073281,0,0.01763098551161647,0.017050190443859813,0.018597977321776565,0.003318026242250701,0.004203300155264734
1359841808,0,0.017747990211259078,0.031689526960610725,0.006314469305007717,0.01421847966681191,0.03398575248627509
1487891187,0,0.0257135425215635,0.034621183940030234,0.012396954715148475,0.016791980396491723,0.03921259114635018
2140865729,0,0.011886391991285173,0.018056931821667108,0.0033981258487028707,0.007977748449341892,0.028938562611684492
138455989,0,0.021340960306273957,0.062109811517742836,0.005220939184674724,0.010227768069477408,0.01429073110908787
1233807307,0,0.026827425957373564,0.08080839314086079,0.009942506979042021,0.017476681327492177,0.026602287055276518
416911078,0,0.017077612369372757,0.054396817954378916,0.005983243192006332,0.014959701492061892,0.03751375449052005
863584419,0,0.03396971920147919,0.004374269079376399,0.005350895538424755,0.011294123405187116,0.03324500322599622
681293144,0,0.00958219596291384,0.09857423640809161,0.002964903251511171,0.005505930925776307,0.02353078716059365
893081740,0,0.03819769760636716,0.09202973046839655,0.0081119629131372,0.02567283231075178,0.03124697493755457
153118702,0,0.015431056461457496,0.05190702907685649,0.014989555094669583,0.023860123950260662,0.14479503398370153
671053837,0,0.012091621618598919,0.042170236249138286,0.040482946857090224,0.008689303616090346,0.0679035560135335
399181091,0,0.027403032348875263,0.06724045679134624,0.010225931037871585,0.008454530091005238,0.035758203165653674
1212253864,0,0.025143136529684824,0.0973230718988611,0.005841920277181592,0.003784035308602913,0.011762365854846631
1380903818,0,0.03111483496794263,0.06860181322561953,0.009774095196079687,0.008582409943974743,0.03263558102785726
346138451,0,0.016105900104190284,0.03426320524968085,0.022621862203575534,0.014841793640384014,0.05783147093625101
816175133,0,0.003902727742727439,0.008446189442245417,0.0025241068291787295,0.006851047252128527,0.031069469100118503
1362666695,0,0.011574938100529536,0.05201062996452447,0.003832838939651698,0.004006275779949279,0.03778039366855401
1665207903,0,0.03200981611675188,0.030745121853912507,0.010650357904064997,0.004417267330966101,0.08583162434512462
2033708519,0,0.020192087821167368,0.03750509183342359,0.0017186102866309425,0.0034373080746643034,0.01111536922810344
64163305,0,0.03263147856223297,0.02293872615173566,0.01666786786720985,0.026985882435369035,0.020289074739893668
137961824,0,0.012273995592992339,0.017362073802040006,0.00665567741563248,0.014311628702089452,0.02595692716329656
380350032,0,0.014622279498993716,0.07627940248481506,0.027649201773849913,0.01465472755913823,0.12827665221749573
1753303399,0,0.02562571817716027,0.011709068407181555,0.017350736264970933,0.007065109770188542,0.017963231545069642
99792151,0,0.020000498153598147,0.14031601830178908,0.007019200307420656,0.015928089546295533,0.049247187824312255
241926138,0,0.01903575517487183,0.1572905848219157,0.003458517769427217,0.006645481246067788,0.013229267313500123
1552134322,0,0.03573417564826078,0.034062953881514126,0.0329470479877125,0.016330068641208582,0.025826278388680405
269811751,0,0.006761457750993837,0.022541127352833524,0.01110943209050698,0.011891530405316578,0.025052964455057548
1084689895,0,0.008747862008620598,0.03101864381589581,0.012065859816360706,0.013897853968073942,0.05224205305681127
110562898,0,0.0382497374405334,0.020227558962031093,0.011977648596019026,0.008965921536813226,0.05334986078610113
1564996746,0,0.029988065302813664,0.03287402203677062,0.007910491045636604,0.009269544240339751,0.10521286845278094
720877274,0,0.017787585662334397,0.027776207506552648,0.003783787217804542,0.01685362943157787,0.028047912399234858
1749888089,0,0.01215995403616421,0.05202809206652764,0.011789978838115061,0.010534062097435952,0.0578682306991607
1905496957,0,0.062021215106080815,0.11528565675303898,0.011415291587170943,0.01057707324463828,0.08066156425883395
2009051411,0,0.053383379137584945,0.1044781115972268,0.013728427459543379,0.009270243126904722,0.06834209523649544
607377238,0,0.004103826694227104,0.036104531428589014,0.005369715197475664,0.003422999449780082,0.0333203163119271
1966021463,0,0.005996706620154534,0.03073316840141311,0.011885842286844875,0.0034210748539991783,0.024575374004773422
1017032466,0,0.012482724239343062,0.010987176782404882,0.009040302982131196,0.0016716975071702426,0.028507570352261657
